key_broker,broker_name
1,Agentcor-Big Block Realty
2,Amanda Allen
3,Anvil Real Estate
4,BERKSHIRE HATHAWAY HOMESERVICES CALIFORNIA REALTY
5,Berkshire Hathaway HomeService
6,Berkshire Hathaway HomeServices California Properties
7,"Berkshire Hathaway HomeServices Troth, Realtors"
8,Better Homes & Gardens RE
9,CA-RES
10,CENTURY 21 Affiliated
11,CENTURY 21 PRIMETIME REALTORS
12,CENTURY 21 REALTY MASTERS
13,CR Properties Real Estate
14,Caliber Real Estate Group
15,California Land Realty
16,Castro Group
17,"Century 21 Hometown Realty, Arroyo Grande Office"
18,Century 21 Realty Masters
19,Coastline Estates
20,Coldwell Banker Preferred Realtors
21,Coldwell Banker Realty
22,Coldwell Banker West
23,Compass
24,Compass Newport Beach
25,EVERGREEN HOMES
26,EXP REALTY OF CALIFORNIA INC.
27,Elevation Real Estate
28,Engel & Volkers La Canada/Dilbeck RE
29,Equity RE-Pacific Coast
30,Equity Union
31,First Team Estates
32,First Team Real Estate
33,"Full Commitment, Inc"
34,Gatehouse Properties
35,Hardy Realtors
36,HomeSmart
37,Impact Real Estate
38,JohnHart Real Estate
39,KELLER WILLIAMS REALTY
40,"Kathy Zajac, Broker"
41,Keller Williams OC Coastal Realty
42,Keller Williams Realty
43,Keller Williams Realty Bakerfield
44,Kennedy Wilson Real Estate Sales & Marke
45,Legacy Real Estate Inc
46,MB Properties & Investments
47,Magnum Realty Group
48,Mogul Real Estate
49,Nueva Real Estate
50,Opendoor Brokerage Inc.
51,Oscar Tortola Group Real Estate Services
52,"Pellego, Inc."
53,"Pinnacle Estate Properties, Inc."
54,Pinpoint Properties
55,RC Realty of San Diego
56,RE/MAX ESTATE PROPERTIES
57,RE/MAX Empire Properties
58,RE/MAX TerraSol
59,RE/MAX of Valencia
60,Re/Max All-Pro
61,Re/Max Premier Prop Arcadia
62,Real Broker
63,Real Estate Ebroker Inc
64,"Real Estate eBroker, Inc."
65,Realty ONE Group Empire
66,Realty One Group West
67,"Reliance Realty & Associates, Inc."
68,Romeo Echo Real Estate Inc.
69,Shoemaker Realty
70,Summerland Real Estate
71,The Crem Group
72,"The Davis Group Real Estate, Inc."
73,The Mora Partners
74,Timothy Toye and Associates
75,Trillion Real Estate
76,Vida Real Estate
77,Viktory
78,W Real Estate
79,Wedgewood Homes Realty
80,Werx Realty Group
81,Whelan Properties
82,Your Home Sold Guaranteed Realty Premier
83,Your Home Sold Guaranteed Rlty
84,Zillow
85,eHomes
86,eXp Realty of California Inc
87,"eXp Realty of California, Inc"
88,"eXp Realty of California, Inc."
