key_province,province
1, Bakersfield
2, Buena Park
3, California City
4, Carlsbad
5, Cloverdale
6, Cobb
7, Corona
8, Coto De Caza
9, Creston
10, Desert Hot Springs
11, El Cajon
12, El Monte
13, Encinitas
14, Fallbrook
15, Folsom
16, Fontana
17, Frazier Park
18, Glendale
19, Groveland
20, Half Moon Bay
21, Hayward
22, Hemet
23, Hesperia
24, Highland
25, Homeland
26, Huntington Beach
27, Joshua Tree
28, La Habra
29, La Mesa
30, La Puente
31, Ladera Ranch
32, Laguna Hills
33, Laguna Niguel
34, Lake Elsinore
35, Lakeside
36, Lancaster
37, Lawndale
38, Lemon Grove
39, Long Beach
40, Los Angeles
41, Malibu
42, Manteca
43, Mission Viejo
44, Modesto
45, Moreno Valley
46, Nevada City
47, Newport Beach
48, Newport Coast
49, North Hollywood
50, Norwalk
51, Oceanside
52, Ontario
53, Orange
54, Palm Springs
55, Palmdale
56, Perris
57, Porterville
58, Rancho Cordova
59, Rancho Cucamonga
60, Rancho Mission Viejo
61, Reseda
62, San Bernardino
63, San Clemente
64, San Diego
65, San Dimas
66, San Francisco
67, San Jose
68, Santa Ana
69, Santa Clarita
70, Santa Rosa
71, Simi Valley
72, Spring Valley
73, Stockton
74, Sunland
75, Sylmar
76, Tehachapi
77, Temecula
78, Tustin
79, Upland
80, Valley Center
81, Van Nuys
82, Victorville
83, Vista
84, Westminster
85, Wildomar
